currentState,opcode,flags,nextState
Reset,*,*,Fetch1
Fetch1,*,*,Fetch2
Fetch2,*,*,Fetch3
Fetch3,*,*,Decode
Decode,NOOP,*,Fetch1
Decode,ALU,*,Execute
Decode,LI,*,WriteBack
Decode,MOV,*,Execute
Decode,LOAD,*,Execute
Decode,STORE,*,Execute
Decode,PUSH,*,Execute
Decode,POP,*,Execute
Decode,JMP,*,Fetch1
Decode,BEQ,XXX0,Fetch1
Decode,BEQ,XXX1,Execute
Decode,BNE,XXX1,Fetch1
Decode,BNE,XXX0,Execute
Decode,BLT,XX0X,Fetch1
Decode,BLT,XX1X,Execute
Decode,BGE,XX1X,Fetch1
Decode,BGE,XX0X,Execute
Decode,BMI,XX0X,Fetch1
Decode,BMI,XX1X,Execute
Decode,BPL,XX1X,Fetch1
Decode,BPL,XX0X,Execute
Decode,HALT,*,Decode
Execute,ALU,*,WriteBack
Execute,MOV,*,WriteBack
Execute,LOAD,*,Memory
Execute,STORE,*,Memory
Execute,PUSH,*,Memory
Execute,POP,*,Memory
Execute,BEQ,*,Fetch1
Execute,BNE,*,Fetch1
Execute,BLT,*,Fetch1
Execute,BGE,*,Fetch1
Execute,BMI,*,Fetch1
Execute,BPL,*,Fetch1
Memory,LOAD,*,WriteBack
Memory,STORE,*,Fetch1
Memory,PUSH,*,Fetch1
Memory,POP,*,WriteBack
WriteBack,*,*,Fetch1
