state,opcode,srcPC,loadPC,loadSP,loadMAR,loadMDR,loadIR,weReg,memRead,memWrite,PC_out,MDR_out,ALU_out,Imm_out
Fetch1,*,0,0,0,1,0,0,0,0,0,1,0,0,0
Fetch2,*,0,0,0,0,1,0,0,1,0,0,0,0,0
Fetch3,*,0,1,0,0,0,1,0,0,0,0,1,0,0
Reset,*,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,NOOP,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,ALU,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,MOV,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,LI,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,STORE,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,PUSH,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,POP,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,JMP,2,1,0,0,0,0,0,0,0,0,0,0,1
Decode,BEQ,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,BNE,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,BLT,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,BGE,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,BMI,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,BPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Decode,HALT,0,0,0,0,0,0,0,0,0,0,0,0,0
Execute,ALU,0,0,0,0,0,0,0,0,0,0,0,1,0
Execute,MOV,0,0,0,0,0,0,0,0,0,0,0,1,0
Execute,LOAD,0,0,0,1,0,0,0,0,0,0,0,1,0
Execute,STORE,0,0,0,1,0,0,0,0,0,0,0,1,0
Execute,PUSH,0,0,1,0,0,0,0,0,0,0,0,1,0
Execute,POP,0,0,1,0,0,0,0,0,0,0,0,1,0
Execute,BEQ,1,1,0,0,0,0,0,0,0,0,0,1,0
Execute,BNE,1,1,0,0,0,0,0,0,0,0,0,1,0
Execute,BLT,1,1,0,0,0,0,0,0,0,0,0,1,0
Execute,BGE,1,1,0,0,0,0,0,0,0,0,0,1,0
Execute,BMI,1,1,0,0,0,0,0,0,0,0,0,1,0
Execute,BPL,1,1,0,0,0,0,0,0,0,0,0,1,0
Memory,LOAD,0,0,0,0,1,0,0,1,0,0,0,0,0
Memory,STORE,0,0,0,0,0,0,0,0,1,0,0,0,0
Memory,PUSH,0,0,0,1,0,0,0,0,1,0,0,1,0
Memory,POP,0,0,0,1,1,0,0,1,0,0,0,1,0
WriteBack,ALU,0,0,0,0,0,0,1,0,0,0,0,1,0
WriteBack,MOV,0,0,0,0,0,0,1,0,0,0,0,1,0
WriteBack,LI,0,0,0,0,0,0,1,0,0,0,0,0,1
WriteBack,LOAD,0,0,0,0,0,0,1,0,0,0,1,0,0
WriteBack,POP,0,0,0,0,0,0,1,0,0,0,1,0,0
