time,r TA_C1.Vt,r TC_C1.Vt
0,0,0
5.00501e-05,0.239615,1.25268e-08
0.0001001,0.479144,2.01607e-05
0.00015015,0.718503,0.0418808
0.0002002,0.957606,0.236257
0.00025025,1.19637,0.457912
0.0003003,1.4347,0.685806
0.00035035,1.67253,0.916145
0.0004004,1.90976,1.14755
0.00045045,2.14631,1.37935
0.000500501,2.3821,1.61112
0.000550551,2.61703,1.84259
0.000600601,2.85104,2.07354
0.000650651,3.08403,2.30381
0.000700701,3.31593,2.53325
0.000750751,3.54664,2.76173
0.000800801,3.77609,2.98913
0.000850851,4.00419,3.21535
0.000900901,4.23088,3.44028
0.000950951,4.45605,3.66383
0.001001,4.67964,3.8859
0.00105105,4.90156,4.10639
0.0011011,5.12174,4.32523
0.00115115,5.34009,4.54232
0.0012012,5.55654,4.75757
0.00125125,5.77102,4.97091
0.0013013,5.98344,5.18225
0.00135135,6.19373,5.39152
0.0014014,6.40181,5.59863
0.00145145,6.60762,5.80351
0.0015015,6.81107,6.00607
0.00155155,7.0121,6.20625
0.0016016,7.21063,6.40398
0.00165165,7.40659,6.59916
0.0017017,7.59992,6.79175
0.00175175,7.79054,6.98166
0.0018018,7.97839,7.16882
0.00185185,8.1634,7.35318
0.0019019,8.34551,7.53465
0.00195195,8.52464,7.71317
0.002002,8.70073,7.88869
0.00205205,8.87373,8.06113
0.0021021,9.04357,8.23043
0.00215215,9.21019,8.39653
0.0022022,9.37353,8.55938
0.00225225,9.53354,8.71891
0.0023023,9.69015,8.87506
0.00235235,9.84331,9.02778
0.0024024,9.99297,9.17701
0.00245245,10.1391,9.3227
0.0025025,10.2816,9.4648
0.00255255,10.4204,9.60325
0.0026026,10.5555,9.73801
0.00265265,10.6869,9.86903
0.0027027,10.8144,9.99625
0.00275275,10.9381,10.1196
0.0028028,11.0579,10.2392
0.00285285,11.1738,10.3547
0.0029029,11.2857,10.4664
0.00295295,11.3936,10574
0.003003,11.4974,10.6775
0.00305305,11.5971,10777
0.0031031,11.6928,10.8724
0.00315315,11.7842,10.9636
0.0032032,11.8714,11.0507
0.00325325,11.9545,11.1335
0.0033033,12.0332,11.2121
0.00335335,12.1077,11.2864
0.0034034,12.1779,11.3564
0.00345345,12.2437,11.4221
0.0035035,12.3052,11.4834
0.00355355,12.3623,11.5404
0.0036036,12415,11593
0.00365365,12.4632,11.6411
0.0037037,12.5071,11.6849
0.00375375,12.5464,11.7242
0.0038038,12.5814,11759
0.00385385,12.6118,11.7894
0.0039039,12.6377,11.8153
0.00395395,12.6592,11.8367
0.004004,12.6761,11.8536
0.00405405,12.6886,11866
0.0041041,12.6965,11.8739
0.00415415,12.6999,11.8772
0.0042042,12.6987,11.8761
0.00425425,12.6931,11.8705
0.0043043,12.6829,11.8603
0.00435435,12.6682,11.8457
0.0044044,12649,11.8265
0.00445445,12.6253,11.8029
0.0045045,12.5971,11.7747
0.00455455,12.5645,11.7421
0.0046046,12.5273,11.7051
0.00465465,12.4857,11.6635
0.0047047,12.4396,11.6176
0.00475475,12.3892,11.5672
0.0048048,12.3343,11.5124
0.00485485,12275,11.4533
0.0049049,12.2113,11.3898
0.00495495,12.1433,11.3219
0.00500501,12071,11.2498
0.00505506,11.9944,11.1733
0.00510511,11.9135,11.0926
0.00515516,11.8283,11.0077
0.00520521,11739,10.9185
0.00525526,11.6455,10.8252
0.00530531,11.5478,10.7278
0.00535536,11446,10.6263
0.00540541,11.3402,10.5207
0.00545546,11.2303,10411
0.00550551,11.1164,10.2974
0.00555556,10.9985,10.1799
0.00560561,10.8768,10.0584
0.00565566,10.7511,9.93312
0.00570571,10.6217,9.80399
0.00575576,10.4884,9.6711
0.00580581,10.3514,9.53449
0.00585586,10.2108,9.3942
0.00590591,10.0665,9.2503
0.00595596,9.91858,9.10283
0.00600601,9.76716,8.95185
0.00605606,9.61227,8.79741
0.00610611,9.45396,8.63956
0.00615616,9.29228,8.47837
0.00620621,9.12729,8.31389
0.00625626,8.95905,8.14618
0.00630631,8.78762,7.9753
0.00635636,8.61307,7.80131
0.00640641,8.43545,7.62428
0.00645646,8.25482,7.44428
0.00650651,8.07126,7.26136
0.00655656,7.88482,7.07559
0.00660661,7.69558,6.88704
0.00665666,7.50359,6.69579
0.00670671,7.30894,6.50189
0.00675676,7.11168,6.30543
0.00680681,6.91189,6.10647
0.00685686,6.70964,5.90508
0.00690691,6505,5.70135
0.00695696,6.29805,5.49535
0.00700701,6.08885,5.28715
0.00705706,5.87749,5.07684
0.00710711,5.66403,4.86449
0.00715716,5.44856,4.65018
0.00720721,5.23115,4434
0.00725726,5.01187,4.21602
0.00730731,4.79081,3.99635
0.00735736,4.56805,3.77506
0.00740741,4.34366,3.55224
0.00745746,4.11772,3.32799
0.00750751,3.89032,3.1024
0.00755756,3.66153,2.87557
0.00760761,3.43143,2.64761
0.00765766,3.20012,2.41864
0.00770771,2.96767,2.18877
0.00775776,2.73416,1.95814
0.00780781,2.49968,1.7269
0.00785786,2.2643,1.49526
0.00790791,2.02813,1.26343
0.00795796,1.79122,1.03177
0.00800801,1.55369,0.800781
0.00805806,1.3156,0.571414
0.00810811,1.07704,0.345836
0.00815816,0.838092,0.131826
0.00820821,0.59885,0.00191977
0.00825826,0.359395,1.83957e-07
0.00830831,0.119813,-9.42351e-09
0.00835836,-0.119813,-8.00197e-09
0.00840841,-0.359395,-7.04649e-09
0.00845846,-0.59885,-6.36799e-09
0.00850851,-0.838092,-5.7532e-09
0.00855856,-1.07704,-5.3418e-09
0.00860861,-1.3156,-5.1001e-09
0.00865866,-1.55369,-4.7183e-09
0.00870871,-1.79122,-4.57136e-09
0.00875876,-2.02813,-4.26084e-09
0.00880881,-2.2643,-4.16959e-09
0.00885886,-2.49968,-3.90354e-09
0.00890891,-2.73416,-3.84845e-09
0.00895896,-2.96767,-3.61223e-09
0.00900901,-3.20012,-3.58207e-09
0.00905906,-3.43143,-3.36693e-09
0.00910911,-3.66153,-3.35476e-09
