time,r TA_C2.Vt,r TC_C2.Vt
0,0,0
5.00835e-05,0.239775,5.0276e-12
0.000100167,0.479464,9.0027e-09
0.00015025,0.718982,6.47884e-05
0.000200334,0.958244,0.0853991
0.000250417,1.19716,0.323329
0.000300501,1.43566,0.561801
0.000350584,1.67364,0.79977
0.000400668,1.91103,1.03715
0.000450751,2.14773,1.27386
0.000500835,2.38367,1.50982
0.000550918,2.61876,1.74493
0.000601002,2.85291,1.97912
0.000651085,3.08605,2.2123
0.000701169,3.31809,2.44439
0.000751252,3.54894,2.67531
0.000801336,3.77853,2.90497
0.000851419,4.00678,3.13329
0.000901503,4.23359,3.3602
0.000951586,4.4589,3.5856
0.00100167,4.68261,3.80943
0.00105175,4.90466,4.0316
0.00110184,5.12496,4.25203
0.00115192,5.34343,4.47064
0.001202,5.56,4.68735
0.00125209,5.77458,4.9021
0.00130217,5.98711,5.11479
0.00135225,6.1975,5.32537
0.00140234,6.40568,5.53374
0.00145242,6.61158,5.73984
0.0015025,6.81512,5.9436
0.00155259,7.01623,6.14493
0.00160267,7.21484,6.34378
0.00165275,7.41088,6.54007
0.00170284,7.60428,6.73372
0.00175292,7.79497,6.92468
0.00180301,7.98288,7.11287
0.00185309,8.16794,7.29823
0.00190317,8.35009,7.48069
0.00195326,8.52926,7.66018
0.00200334,8.70539,7.83665
0.00205342,8.87842,8.01003
0.00210351,9.04829,8.18026
0.00215359,9.21493,8.34728
0.00220367,9.37828,8.51102
0.00225376,9.53829,8.67144
0.00230384,9.69491,8.82848
0.00235392,9.84806,8.98207
0.00240401,9.9977,9.13218
0.00245409,10.1438,9.27873
0.00250417,10.2862,9.42169
0.00255426,10425,9561
0.00260434,10.5601,9.69661
0.00265442,10.6914,9.82848
0.00270451,10.8189,9.95656
0.00275459,10.9426,10.0808
0.00280467,11.0623,10.2012
0.00285476,11.1781,10.3176
0.00290484,11.29,10.4301
0.00295492,11.3978,10.5386
0.00300501,11.5015,10.6431
0.00305509,11.6011,10.7434
0.00310518,11.6966,10.8397
0.00315526,11.7879,10.9319
0.00320534,11.8751,11.0199
0.00325543,11958,11.1037
0.00330551,12.0366,11.1832
0.00335559,12.1109,11.2585
0.00340568,12.1809,11.3296
0.00345576,12.2466,11.3963
0.00350584,12.3079,11.4588
0.00355593,12.3649,11.5169
0.00360601,12.4174,11.5707
0.00365609,12.4655,11.6201
0.00370618,12.5091,11.6652
0.00375626,12.5483,11.7059
0.00380634,12583,11.7422
0.00385643,12.6132,11.7741
0.00390651,12639,11.8017
0.00395659,12.6602,11.8249
0.00400668,12.6769,11.8438
0.00405676,12.6891,11.8583
0.00410684,12.6968,11.8685
0.00415693,12.6999,11.8745
0.00420701,12.6985,11.8762
0.0042571,12.6926,11.8738
0.00430718,12.6822,11.8673
0.00435726,12.6672,11.8568
0.00440735,12.6478,11.8426
0.00445743,12.6238,11.8247
0.00450751,12.5953,11.8035
0.0045576,12.5623,11.7792
0.00460768,12.5249,11.7524
0.00465776,12483,11.7235
0.00470785,12.4366,11.6931
0.00475793,12.3858,11.6617
0.00480801,12.3306,11.6298
0.0048581,12271,11.5977
0.00490818,12207,11.5655
0.00495826,12.1387,11.5334
0.00500835,12066,11.5014
0.00505843,11989,11.4694
0.00510851,11.9078,11.4375
0.0051586,11.8223,11.4058
0.00520868,11.7326,11.3741
0.00525876,11.6388,11.3425
0.00530885,11.5407,11.3109
0.00535893,11.4386,11.2795
0.00540902,11.3324,11.2482
0.0054591,11.2221,11.2169
0.00550918,11.1078,11.1858
0.00555927,10.9896,11.1547
0.00560935,10.8675,11.1237
0.00565943,10.7415,11.0928
0.00570952,10.6116,11062
0.0057596,10478,11.0312
0.00580968,10.3407,11.0006
0.00585977,10.1996,10.97
0.00590985,10.0549,10.9395
0.00595993,9.90668,10.9091
0.00601002,9.75488,10.8788
0.0060601,9.59961,10.8486
0.00611018,9.44091,10.8184
0.00616027,9.27885,10.7884
0.00621035,9.11348,10.7584
0.00626043,8.94486,10.7285
0.00631052,8.77306,10.6987
0.0063606,8.59812,10669
0.00641068,8.42012,10.6393
0.00646077,8.23912,10.6098
0.00651085,8.05519,10.5803
0.00656093,7.86838,10.5509
0.00661102,7.67876,10.5216
0.0066611,7.48641,10.4923
0.00671119,7.29139,10.4632
0.00676127,7.09377,10.4341
0.00681135,6.89362,10.4051
0.00686144,6.69102,10.3762
0.00691152,6.48603,10.3474
0.0069616,6.27872,10.3186
0.00701169,6.06918,10.29
0.00706177,5.85748,10.2614
